country,country_code,GDP,GNI,Population,BM Dollar,BM Dollar PPP,HDI,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,HDI Rank
Belgium,BE,46428.6714245837,42367.9930386717,11338476.0,5.019425,0.7765151515151514,0.8955141454781904,80.984,16.63527,11.38096,22
Bulgaria,BG,19242.6226157385,17758.4152023187,7127822.0,,,0.7936415651852008,74.322,15.04037,10.79879781,56
Czech Republic,CZ,34749.2123632656,29279.6818892063,10566332.0,3.807779437991035,14.962121212121211,0.8778419244842639,78.775,16.81404,12.33225,28
Denmark,DK,49029.0148389124,47160.2931545042,5728010.0,4.932020319923718,5.681818181818182,0.92464936963657,80.412,19.1888,12.70017,5
Germany,DE,48860.5252921132,45126.5045991406,82487842.0,4.7745750000000005,0.7386363636363635,0.9256689410716622,81.092,17.09594,13.18762553,4
Estonia,EE,29743.3374280246,27553.1254331325,1315790.0,3.8563875000000003,0.5965909090909091,0.8651183799439371,77.012,16.50275,12.54744874,30
Ireland,IE,71472.2959648651,52265.0088918708,4749777.0,4.9826975000000004,0.7708333333333334,0.9227457665841561,81.052,18.5792,12.31397813,8
Greece,GR,26778.5049658874,24351.514961944,10770521.0,4.1012375,0.6344696969696969,0.8658730961973498,81.071,17.21752,10.53946,29
Spain,ES,36304.8542727475,33306.3656017245,46484533.0,4.8357875,0.7481060606060606,0.8841532546274933,82.767,17.70032,9.79079,27
France,FR,41343.2925355429,38680.1378116569,66892205.0,5.141850000000001,0.7954545454545454,0.8974358924762357,82.359,16.26508,11.62517418,21
Croatia,HR,23422.4179765285,20797.3602550193,4174349.0,,,0.8274029425081648,77.495,15.25955,11.22219652,45
Italy,IT,38380.1724117843,34733.371695865,60627498.0,5.141850000000001,0.7954545454545454,0.8865521109455656,83.338,16.25827,10.86879343,26
Cyprus,CY,32707.8728870037,30842.9083523856,1170125.0,,,0.8556458457392209,80.332,14.25613,11.69523,33
Latvia,LV,25587.3880884729,23686.0018115911,1959537.0,3.3054750000000004,0.5113636363636364,0.8298622874233904,74.342,15.97411,11.73641794,44
Lithuania,LT,29862.3188904098,26882.8750819061,2868231.0,3.4279,0.5303030303030303,0.8480985629653854,73.495,16.52306,12.70211,37
Luxembourg,LU,102389.437727633,64246.6447095016,582014.0,,,0.8984647206255297,81.881,13.86373,11.95083323,20
Hungary,HU,26700.7560826351,,9814023.0,3.426638505303457,163.63636363636363,0.8362114928086669,75.313,15.59518,12.02,43
Malta,MT,37928.3412686642,33580.4089561566,437418.0,,,0.8558507749084324,80.726,14.59462,11.27129,33
Netherlands,NL,50538.6065695989,46712.0673055191,17030314.0,4.5419675,0.7026515151515151,0.9243121712212924,81.706,18.11654,11.91407,7
Austria,AT,50551.5531751991,44469.8031146081,8731471.0,4.16245,0.6439393939393939,0.8934050145503654,81.583,15.91223,11.33397586,24
Poland,PL,27383.2549370049,24981.5439189322,37970087.0,2.96557292813624,1.9128787878787876,0.8552287887165734,77.62,16.37393,11.90293,36
Portugal,PT,30658.6319953306,26519.6713876007,10325452.0,3.9176,0.6060606060606061,0.8426580975248025,81.183,16.56576,8.88247,41
Romania,RO,23027.2892643944,20939.9186789669,19699312.0,,,0.8023817138286202,74.837,14.73498,10.79977,50
Slovenia,SI,32723.0719537641,29082.5031360802,2065042.0,,,0.8903028242300923,80.575,17.3483,12.12194,25
Slovakia,SK,30460.3840810744,28803.2954168027,5430798.0,,,0.8449475821673539,76.409,14.96488,12.22690128,40
Finland,FI,43378.1460288181,39977.4067049996,5495303.0,5.58258,0.8636363636363635,0.8945174439106046,81.006,17.04792,11.194,23
Sweden,SE,48904.5543707155,47310.5639290826,9923085.0,6.123110689878785,9.299242424242424,0.9127061005309107,82.347,16.05545884,12.2737,14
United Kingdom,GB,42656.2166021995,38680.0673701755,65595565.0,,,0.9094909059083512,80.849,16.3109,13.28412,16
Iceland,IS,50745.682977113,,335439.0,,,0.9211095980790215,82.724,18.99422,12.19089155,9
Liechtenstein,LI,,,37666.0,,,0.9115174834876614,80.161,14.63511,12.35198793,15
Norway,NO,58790.0614038949,67034.2561170734,5236151.0,6.241958701163043,9.28030303030303,0.9494228344910645,81.711,17.67187,12.74642,1
Switzerland,CH,63888.7323866538,57955.1207455442,8372413.0,6.764843628037675,1.231060606060606,0.9391308690593804,83.133,16.04041,13.37,2
